Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
"Update package.json file, add build command",TASK-42,10098,Task,In Progress,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,29/Dec/24 3:13 PM,29/Dec/24 3:14 PM,16/Jan/25 9:12 AM,,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000jz:,,,Deployment,,,,,,,,,,,,10095,Deployment,In Progress,29/Dec/24 3:14 PM
Update app.js file,TASK-41,10097,Task,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,29/Dec/24 3:11 PM,16/Jan/25 1:34 AM,16/Jan/25 9:12 AM,16/Jan/25 1:34 AM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000jr:,,,Deployment,,,,,,,,,,,10015_*:*_1_*:*_201338_*|*_10016_*:*_1_*:*_0,10095,Deployment,Done,16/Jan/25 1:34 AM
Update server.js file to make it deployable on Render,TASK-40,10096,Task,In Progress,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,29/Dec/24 3:09 PM,29/Dec/24 3:14 PM,29/Dec/24 3:09 PM,,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000jj:,,,Deployment,,,,,,,,,,,,10095,Deployment,In Progress,29/Dec/24 3:14 PM
Deployment,TASK-39,10095,Epic,To Do,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,29/Dec/24 3:09 PM,29/Dec/24 3:19 PM,29/Dec/24 3:18 PM,,,0,"Need to update server file and move files to public folder, to be able to deploy on Render and Vercel",,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000jb:,,,,,,,,,,,,,,,,,To Do,29/Dec/24 3:09 PM
Submit button does not put into database,TASK-38,10094,Bug,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,29/Dec/24 3:06 PM,16/Jan/25 1:34 AM,16/Jan/25 1:34 AM,16/Jan/25 1:34 AM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000j3:,,,Bug bounty sprint,,,,,,,,,,,10015_*:*_1_*:*_482174_*|*_10016_*:*_1_*:*_0,,,Done,16/Jan/25 1:34 AM
Deleting item does not function,TASK-37,10093,Bug,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,29/Dec/24 3:05 PM,16/Jan/25 1:34 AM,16/Jan/25 1:34 AM,16/Jan/25 1:34 AM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000iv:,,,Bug bounty sprint,,,,,,,,,,,10015_*:*_1_*:*_497866_*|*_10016_*:*_1_*:*_0,,,Done,16/Jan/25 1:34 AM
Flowchart and diagram,TASK-36,10092,Task,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,29/Dec/24 3:04 PM,16/Jan/25 1:34 AM,16/Jan/25 1:34 AM,16/Jan/25 1:34 AM,,0,Add shapes to github repo,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000in:,,,Documentation,,,,,,,,,,,10015_*:*_1_*:*_139968_*|*_10017_*:*_1_*:*_494802_*|*_10016_*:*_1_*:*_0,,,Done,16/Jan/25 1:34 AM
prepare a detailed README.MD file,TASK-35,10091,Subtask,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,29/Dec/24 3:03 PM,16/Jan/25 1:33 AM,16/Jan/25 1:33 AM,16/Jan/25 1:33 AM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000if:,,,Documentation,,,10.0,,,,,,,,10015_*:*_1_*:*_165590_*|*_10017_*:*_1_*:*_109250_*|*_10016_*:*_1_*:*_0,10090,Preparing github documentation,Done,16/Jan/25 1:33 AM
Preparing github documentation,TASK-34,10090,Task,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,29/Dec/24 3:03 PM,16/Jan/25 1:33 AM,16/Jan/25 1:33 AM,16/Jan/25 1:33 AM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000i7:,,,Documentation,,,,,,,,,,,10015_*:*_1_*:*_185766_*|*_10017_*:*_1_*:*_129280_*|*_10016_*:*_1_*:*_0,,,Done,16/Jan/25 1:33 AM
"colorizing, animations and whatnot",TASK-33,10089,Subtask,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,29/Dec/24 3:02 PM,29/Dec/24 3:07 PM,16/Jan/25 9:12 AM,29/Dec/24 3:07 PM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000hz:,,,UI optimization,,,,,,,,,,,10015_*:*_1_*:*_291654_*|*_10017_*:*_1_*:*_0,10088,CSS retouch 💅,Done,29/Dec/24 3:07 PM
CSS retouch 💅,TASK-32,10088,Story,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,29/Dec/24 3:02 PM,29/Dec/24 3:07 PM,29/Dec/24 3:07 PM,29/Dec/24 3:07 PM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,TASK-30,,,,,,,,,,,,,,,,,,0|i000hr:,,,UI optimization,,,,,,,,,,,10015_*:*_1_*:*_306918_*|*_10017_*:*_1_*:*_0,,,Done,29/Dec/24 3:07 PM
mobile adaptation,TASK-31,10087,Subtask,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,29/Dec/24 3:01 PM,29/Dec/24 3:07 PM,29/Dec/24 3:07 PM,29/Dec/24 3:07 PM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000hj:,,,UI optimization,,,,,,,,,,,10015_*:*_1_*:*_369159_*|*_10017_*:*_1_*:*_0,10086,make ui responsive,Done,29/Dec/24 3:07 PM
make ui responsive,TASK-30,10086,Story,Done,TASK,Task Manager ,software,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,Medium,Done,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,28/Dec/24 7:47 PM,29/Dec/24 3:07 PM,29/Dec/24 3:07 PM,29/Dec/24 3:07 PM,,0,,,omer,712020:723e1aaf-7cfe-456c-8d6c-6822f1fddcf0,,,,,,,,,,TASK-32,,,,,,,,,,,,,,,,,0|i000hb:,,,UI optimization,,,,,,,,,,,10015_*:*_1_*:*_69605303_*|*_10017_*:*_1_*:*_0,,,Done,29/Dec/24 3:07 PM
